[SNA38068, FRO40251]=0.19482120838471023
[DAI62779, DAI73122]=0.19434628975265017
[DAI62779, ELE74482]=0.19300911854103345
[GRO32086, FRO40251]=0.1927570093457944
[GRO94758, SNA45677]=0.19207521826729348
[ELE17451, DAI42493]=0.1918081918081918
[ELE32164, GRO81087]=0.19098360655737706
[ELE53126, ELE37770]=0.19047619047619047
[SNA55952, DAI62779]=0.19012797074954296
[DAI62779, GRO69543]=0.1893424036281179
[SNA45677, SNA20554]=0.1879021879021879
[DAI22240, FRO40251]=0.18760469011725292
[FRO85978, SNA93860]=0.1869225302061123
[SNA80324, FRO16142]=0.18474758324382384
[SNA72163, FRO40251]=0.18440366972477065
[ELE17451, SNA55762]=0.18408262454434993
[FRO40251, GRO81087]=0.18278688524590164
[FRO16142, FRO40251]=0.18259935553168635
[DAI62779, GRO32086]=0.1822429906542056
[GRO56726, DAI87448]=0.18181818181818182
[SNA53220, SNA93860]=0.18052594171997158
[ELE17451, FRO40251]=0.1795928884308168
[ELE17451, ELE32164]=0.1792353560154332
[GRO46854, DAI87448]=0.17832167832167833
[DAI75645, FRO16142]=0.17830290010741137
[SNA80324, GRO50832]=0.17763157894736842
[GRO46854, DAI95741]=0.1765375854214123
[SNA66979, ELE38289]=0.1763869132290185
[DAI62779, SNA20554]=0.17631917631917632
[ELE17451, DAI22240]=0.17587939698492464
[DAI62779, FRO32293]=0.17567567567567569
[ELE17451, ELE59028]=0.17533432392273401
[GRO21487, GRO73461]=0.17518045530260967
[DAI85309, DAI95741]=0.17425968109339407
[ELE74482, DAI22240]=0.17252931323283083
[ELE17451, ELE20847]=0.17237163814180928
[ELE99737, FRO19221]=0.17205692108667528
[ELE66600, FRO78087]=0.17178314826910515
[ELE74482, SNA99873]=0.171387421987518
[SNA62128, DAI62779]=0.17008797653958943
[GRO85051, ELE20847]=0.16992665036674817
[DAI75645, GRO81087]=0.16885245901639345
[FRO40251, DAI49199]=0.16716867469879518
[DAI62779, FRO53271]=0.16690140845070423
[DAI75645, DAI42493]=0.16683316683316685
[FRO40251, SNA93860]=0.16631130063965885
[DAI22896, GRO38814]=0.16494082840236687
[GRO61133, GRO81087]=0.16393442622950818
[ELE20398, DAI62779]=0.16376811594202897
[FRO40251, ELE37770]=0.1634920634920635
[ELE17451, FRO16142]=0.16326530612244897
[DAI62779, FRO31317]=0.16137339055793992
[ELE17451, GRO73461]=0.16102165463631316
[DAI62779, GRO44993]=0.16093880972338642
[SNA59061, ELE17451]=0.1607717041800643
[ELE21353, FRO19221]=0.16041397153945666
[GRO94758, DAI85309]=0.15983881799865682
[GRO56726, FRO79022]=0.15978695073235685
[GRO15017, SNA18336]=0.15937940761636107
[ELE17451, ELE37770]=0.15873015873015872
[GRO88511, DAI83948]=0.1578313253012048
[ELE53126, GRO32086]=0.15654205607476634
[DAI85309, DAI87448]=0.1561771561771562
[SNA80324, GRO73461]=0.15602443087173792
[GRO36567, DAI48891]=0.15515151515151515
[SNA55762, DAI75645]=0.15492102065613608
[GRO85051, SNA80324]=0.15473061760840998
[ELE17451, FRO31317]=0.15407725321888413
[ELE17451, SNA80324]=0.15406451612903227
[DAI49199, SNA99873]=0.1536144578313253
[DAI75645, SNA38068]=0.15289765721331688
[SNA80324, SNA38068]=0.15166461159062886
[SNA80324, GRO81087]=0.15163934426229508
[FRO40251, ELE26917]=0.15095986038394416
[GRO46854, DAI85309]=0.15089402529437418
[DAI83733, FRO79022]=0.15046604527296936
[ELE62598, SNA38068]=0.1504315659679408
[SNA45677, GRO38814]=0.15014792899408283
[SNA45677, SNA47306]=0.14964028776978416
[FRO92469, ELE20847]=0.1491442542787286
[GRO35122, GRO56726]=0.14906103286384975
[DAI85309, FRO66272]=0.1488673139158576
[FRO85978, DAI63921]=0.14777213761985336
[GRO36567, SNA47306]=0.14676258992805755
[ELE17451, DAI48891]=0.14666666666666667
[GRO59710, SNA38068]=0.14549938347718866
[GRO21487, GRO69543]=0.14512471655328799
[GRO69543, ELE17451]=0.14512471655328799
[GRO85051, DAI75645]=0.14437134502923976
[FRO75586, ELE20847]=0.14425427872860636
[GRO56726, GRO46854]=0.14407744874715261
[DAI42493, GRO73461]=0.14385614385614387
[DAI62779, FRO73056]=0.14285714285714285
[ELE17451, FRO78087]=0.14239059438275636
[SNA40784, DAI85309]=0.1423529411764706
[ELE92920, DAI42493]=0.14185814185814186
[GRO71621, FRO19221]=0.1410090556274256
[GRO81087, GRO73461]=0.14098360655737704
[DAI85309, GRO71621]=0.140625
[DAI83733, DAI48891]=0.1406060606060606
[ELE53126, FRO53271]=0.14014084507042254
[ELE30933, DAI87448]=0.13986013986013987
[DAI35347, FRO31317]=0.13948497854077252
[FRO40251, DAI95741]=0.13895216400911162
[FRO80039, ELE59935]=0.13882532418001525
[ELE17451, FRO92261]=0.13879781420765028
[SNA88283, GRO30386]=0.13872832369942195
[DAI83733, DAI87448]=0.1386946386946387
[GRO94758, DAI48891]=0.13818181818181818
[FRO53271, SNA80324]=0.13802816901408452
[ELE17451, ELE26917]=0.13699825479930192
[SNA95666, FRO78087]=0.13681592039800994
[FRO85978, GRO46854]=0.1366742596810934
[SNA90094, DAI95741]=0.1366742596810934
[GRO85051, DAI55911]=0.13655030800821355
[ELE74482, FRO31317]=0.13605150214592274
[ELE91337, SNA45677]=0.1360488798370672
[ELE74009, DAI42493]=0.13586413586413587
[ELE74009, DAI22896]=0.13535684987694832
[ELE32164, GRO73461]=0.13492504164353136
[ELE91337, GRO64900]=0.13479923518164436
[GRO15017, ELE92920]=0.13450292397660818
[ELE26917, ELE20847]=0.13447432762836187
[FRO85978, DAI87448]=0.13403263403263405
[FRO80039, SNA96271]=0.1335907335907336
[DAI63921, DAI48891]=0.13333333333333333
[ELE74009, SNA72163]=0.13302752293577982
[FRO31317, SNA99873]=0.1329812770043207
[FRO32293, FRO40251]=0.13278495887191538
[FRO66272, DAI63921]=0.13160733549083065
[ELE92920, DAI62779]=0.13154342282885856
[GRO59710, FRO16142]=0.1310418904403867
[SNA30533, SNA96271]=0.1305019305019305
[SNA18336, DAI42493]=0.12987012987012986
[ELE17451, SNA99873]=0.12962073931829093
[ELE17451, SNA93860]=0.12935323383084577
[ELE17451, FRO32293]=0.12867215041128086
[ELE17451, ELE74482]=0.128419452887538
[DAI85309, SNA55762]=0.12818955042527339
[FRO53271, ELE17451]=0.12816901408450704
[ELE66600, SNA95666]=0.1281094527363184
[FRO85978, SNA45677]=0.12790224032586558
[DAI83733, DAI85309]=0.12778020061055387
[DAI92600, SNA59903]=0.12682379349046016
[DAI88807, FRO16142]=0.1267454350161117
[GRO30386, SNA72163]=0.12660550458715597
[ELE17451, GRO32086]=0.1261682242990654
[GRO59710, FRO53271]=0.126056338028169
[DAI75645, SNA93860]=0.1257995735607676
[FRO40251, FRO31317]=0.12532188841201716
[SNA80324, DAI42493]=0.12487512487512488
[ELE17451, DAI22177]=0.12476951444376153
[DAI85309, ELE17451]=0.12438709677419355
[FRO85978, SNA99873]=0.12385981757081133
[DAI88807, GRO69543]=0.1235827664399093
[ELE34057, DAI87448]=0.12354312354312354
[DAI85309, SNA45677]=0.12341910161360663
[FRO85978, GRO64900]=0.12332695984703633
